season,game,round,team,home,win,draw,tries,conversions,pens,kick_at_goal,drop_goals,kicks_from_hand,passes,runs,meters_run,clean_breaks,defenders_beat,offloads,rucks,mauls,turns_conceded,tackles,tackle_success,scrums,lineouts,penalties
2014_15,18,3,newcastle,1,0,0,1,1 from 1,1 from 1,1,0,21,205,148,421,4,22,15,113 from 116 (97.4%),5 from 5 (100.0%),17,86/20,0.81,"9 won, 0 lost (100.0%)","12 won, 3 lost (80.0%)",9 (0)
2014_15,18,3,northampton,0,1,0,4,3 from 4,3 from 3,0.86,0,26,143,112,613,15,20,16,65 from 66 (98.5%),3 from 3 (100.0%),12,134/22,0.86,"9 won, 1 lost (90.0%)","7 won, 0 lost (100.0%)",12 (1)
2014_15,19,4,welsh,1,0,0,1,1 from 1,1 from 2,0.67,0,19,112,84,281,4,15,7,66 from 70 (94.3%),7 from 7 (100.0%),12,106/33,0.76,"5 won, 2 lost (71.4%)","10 won, 0 lost (100.0%)",19 (1)
2014_15,19,4,gloucester,0,1,0,6 (1 penalty try),5 from 6,2 from 5,0.64,0,24,113,108,589,14,33,9,77 from 78 (98.7%),7 from 7 (100.0%),9,90/15,0.86,"6 won, 1 lost (85.7%)","12 won, 2 lost (85.7%)",6 (1)
2014_15,20,4,northampton,1,1,0,4 (1 penalty try),4 from 4,1 from 2,0.83,0,23,97,84,420,9,21,8,52 from 53 (98.1%),7 from 7 (100.0%),10,100/24,0.81,"5 won, 1 lost (83.3%)","12 won, 1 lost (92.3%)",11 (1)
2014_15,20,4,bath,0,0,0,3,3 from 3,1 from 1,1,0,19,131,100,357,13,24,4,78 from 80 (97.5%),7 from 8 (87.5%),10,70/21,0.77,"5 won, 1 lost (83.3%)","14 won, 3 lost (82.4%)",9 (0)
2014_15,21,4,saracens,1,1,0,4 (1 penalty try),4 from 4,4 from 4,1,0,30,103,80,449,7,17,5,54 from 56 (96.4%),0 from 0,18,148/28,0.84,"9 won, 0 lost (100.0%)","11 won, 1 lost (91.7%)",6
2014_15,21,4,sale,0,0,0,3 (1 penalty try),2 from 3,0 from 0,0.67,0 (1 missed),28,198,137,388,9,28,12,105 from 107 (98.1%),0 from 0,14,74/17,0.81,"7 won, 3 lost (70.0%)","5 won, 3 lost (62.5%)",12
2014_15,22,4,leicester,1,0,0,1,1 from 1,4 from 7,0.62,0,21,123,90,334,5,14,4,61 from 68 (89.7%),0 from 0,24,100/11,0.9,"3 won, 1 lost (75.0%)","14 won, 0 lost (100.0%)",9
2014_15,22,4,irish,0,1,0,1,1 from 1,5 from 7,0.75,0,24,107,83,351,4,11,4,53 from 58 (91.4%),0 from 0,14,105/14,0.88,"8 won, 2 lost (80.0%)","15 won, 1 lost (93.8%)",11
2014_15,23,4,wasps,1,1,0,4,3 from 4,3 from 3,0.86,0,24,117,103,481,5,13,9,73 from 77 (94.8%),0 from 0,13,98/16,0.86,"9 won, 1 lost (90.0%)","14 won, 2 lost (87.5%)",13
2014_15,23,4,newcastle,0,0,0,2 (1 penalty try),1 from 2,2 from 3,0.6,0,21,134,95,343,3,16,8,67 from 72 (93.1%),0 from 0,19,115/13,0.9,"7 won, 0 lost (100.0%)","14 won, 1 lost (93.3%)",11
2014_15,24,4,exeter,1,1,0,3,3 from 3,5 from 6,0.89,0,22,81,61,345,11,13,8,38 from 42 (90.5%),1 from 3 (33.3%),11,92/16,0.85,"11 won, 2 lost (84.6%)","8 won, 2 lost (80.0%)",13 (1)
2014_15,24,4,harlequins,0,0,0,1,1 from 1,2 from 3,0.75,0,14,112,93,324,8,16,17,64 from 69 (92.8%),3 from 5 (60.0%),19,66/13,0.84,"6 won, 0 lost (100.0%)","11 won, 3 lost (78.6%)",10 (0)
2014_15,25,5,bath,1,1,0,2,1 from 2,3 from 7,0.44,0,29,103,86,420,8,33,7,57 from 62 (91.9%),6 from 7 (85.7%),14,151/18,0.89,"4 won, 1 lost (80.0%)","10 won, 2 lost (83.3%)",7 (1)
2014_15,25,5,saracens,0,0,0,1,0 from 1,2 from 4,0.4,0,29,150,125,465,2,18,6,100 from 103 (97.1%),2 from 3 (66.7%),15,91/33,0.73,"5 won, 1 lost (83.3%)","4 won, 1 lost (80.0%)",11 (1)
2014_15,26,5,gloucester,1,1,0,3,3 from 3,4 from 5,0.88,0,24,127,102,466,8,19,12,73 from 78 (93.6%),3 from 6 (50.0%),14,84/17,0.83,"8 won, 1 lost (88.9%)","16 won, 3 lost (84.2%)",9 (1)
2014_15,26,5,leicester,0,0,0,1,1 from 1,3 from 3,1,0,27,134,91,345,4,17,15,60 from 62 (96.8%),2 from 3 (66.7%),16,111/19,0.85,"5 won, 1 lost (83.3%)","12 won, 1 lost (92.3%)",13 (0)
2014_15,27,5,irish,1,0,0,0,0 from 0,4 from 6,0.67,0 (1 missed),27,101,73,126,1,10,5,63 from 66 (95.5%),0 from 0,11,95/16,0.86,"7 won, 1 lost (87.5%)","10 won, 0 lost (100.0%)",11
2014_15,27,5,northampton,0,1,0,1,1 from 1,4 from 6,0.71,0,26,93,74,240,3,16,3,59 from 61 (96.7%),0 from 0,12,88/10,0.9,"6 won, 2 lost (75.0%)","11 won, 0 lost (100.0%)",8
2014_15,28,5,harlequins,1,1,0,7 (1 penalty try),7 from 7,1 from 1,1,0,18,121,96,497,16,28,12,60 from 63 (95.2%),0 from 0,14,76/2,0.97,"15 won, 1 lost (93.8%)","5 won, 2 lost (71.4%)",13
2014_15,28,5,welsh,0,0,0,0,0 from 0,0 from 0,0,0,15,69,65,146,1,2,4,47 from 50 (94.0%),0 from 0,16,98/28,0.78,"5 won, 1 lost (83.3%)","14 won, 6 lost (70.0%)",10
2014_15,29,5,newcastle,1,1,0,3,1 from 3,4 from 4,0.71,0,27,112,79,366,13,27,6,53 from 56 (94.6%),0 from 0,9,170/28,0.86,"9 won, 2 lost (81.8%)","13 won, 1 lost (92.9%)",12
2014_15,29,5,exeter,0,0,0,3,0 from 3,3 from 3,0.5,0,19,199,144,603,4,28,10,97 from 100 (97.0%),0 from 0,16,72/27,0.73,"3 won, 0 lost (100.0%)","7 won, 3 lost (70.0%)",8
2014_15,30,5,sale,1,1,0,3,2 from 3,1 from 4,0.43,1,25,101,90,330,5,27,6,60 from 62 (96.8%),2 from 2 (100.0%),13,163/26,0.86,"5 won, 2 lost (71.4%)","12 won, 2 lost (85.7%)",9 (0)
2014_15,30,5,wasps,0,0,0,2,2 from 2,0 from 0,1,0,17,190,161,653,8,26,15,107 from 115 (93.0%),7 from 10 (70.0%),19,83/27,0.75,"4 won, 2 lost (66.7%)","13 won, 0 lost (100.0%)",12 (1)
2014_15,31,6,leicester,1,1,0,1,1 from 1,5 from 9,0.6,0 (2 missed),33,76,80,310,5,10,5,62 from 64 (96.9%),1 from 1 (100.0%),6,110/9,0.92,"5 won, 1 lost (83.3%)","5 won, 1 lost (83.3%)",9 (2)
2014_15,31,6,harlequins,0,0,0,1,1 from 1,3 from 4,0.8,0,29,98,86,207,1,9,2,72 from 74 (97.3%),5 from 6 (83.3%),12,85/10,0.89,"4 won, 2 lost (66.7%)","14 won, 4 lost (77.8%)",11 (0)
2014_15,32,6,northampton,1,1,0,6,5 from 6,1 from 1,0.86,0,17,127,105,444,6,10,8,71 from 77 (92.2%),5 from 9 (55.6%),15,87/8,0.92,"5 won, 0 lost (100.0%)","14 won, 0 lost (100.0%)",14 (2)
2014_15,32,6,sale,0,0,0,1,1 from 1,1 from 1,1,0,16,109,87,168,5,8,7,69 from 71 (97.2%),10 from 10 (100.0%),7,106/10,0.91,"7 won, 1 lost (87.5%)","17 won, 4 lost (81.0%)",13 (0)
2014_15,33,6,saracens,1,1,0,3,2 from 3,3 from 3,0.83,0,22,159,127,492,8,20,15,90 from 93 (96.8%),0 from 0,15,95/15,0.86,"6 won, 1 lost (85.7%)","14 won, 2 lost (87.5%)",12
2014_15,33,6,gloucester,0,0,0,2,1 from 2,3 from 5,0.57,0,23,113,87,289,4,15,11,64 from 68 (94.1%),0 from 0,14,131/20,0.87,"3 won, 0 lost (100.0%)","14 won, 3 lost (82.4%)",19
2014_15,34,6,exeter,1,1,0,5,5 from 5,3 from 3,1,0,23,130,92,298,5,15,8,64 from 67 (95.5%),0 from 0,12,137/28,0.83,"1 won, 2 lost (33.3%)","18 won, 2 lost (90.0%)",9
2014_15,34,6,irish,0,0,0,3,3 from 3,1 from 1,1,0,19,173,143,646,14,28,25,89 from 92 (96.7%),0 from 0,15,98/15,0.87,"2 won, 2 lost (50.0%)","10 won, 2 lost (83.3%)",13
2014_15,35,6,welsh,1,0,0,0,0 from 0,1 from 1,1,0,21,219,156,372,5,26,13,123 from 127 (96.9%),0 from 0,19,107/22,0.83,"8 won, 2 lost (80.0%)","14 won, 2 lost (87.5%)",7
2014_15,35,6,newcastle,0,1,0,3,1 from 3,2 from 3,0.5,0,25,142,95,390,7,22,10,65 from 68 (95.6%),0 from 0,12,213/26,0.89,"7 won, 1 lost (87.5%)","8 won, 3 lost (72.7%)",11
2014_15,36,6,wasps,1,1,0,2 (1 penalty try),2 from 2,5 from 5,1,0,26,103,95,350,5,18,13,64 from 66 (97.0%),3 from 3 (100.0%),9,109/22,0.83,"9 won, 3 lost (75.0%)","8 won, 1 lost (88.9%)",11 (1)
2014_15,36,6,bath,0,0,0,3,2 from 3,1 from 1,0.75,0,18,139,105,487,7,22,9,67 from 72 (93.1%),3 from 4 (75.0%),12,109/18,0.86,"5 won, 1 lost (83.3%)","13 won, 3 lost (81.2%)",16 (1)
2014_15,37,7,northampton,1,0,0,2,1 from 2,2 from 2,0.75,0,44,160,177,637,9,30,20,107 from 111 (96.4%),0 from 0,18,55/19,0.74,"4 won, 0 lost (100.0%)","11 won, 2 lost (84.6%)",10
2014_15,37,7,exeter,0,1,0,3,3 from 3,1 from 1,1,0 (1 missed),46,94,82,457,8,19,10,35 from 39 (89.7%),0 from 0,15,152/30,0.84,"6 won, 1 lost (85.7%)","17 won, 4 lost (81.0%)",10
2014_15,38,7,gloucester,1,0,0,0,0 from 0,5 from 9,0.56,0,25,94,89,311,4,16,4,72 from 79 (91.1%),2 from 4 (50.0%),11,75/12,0.86,"6 won, 0 lost (100.0%)","10 won, 1 lost (90.9%)",7 (1)
2014_15,38,7,harlequins,0,1,0,3,2 from 3,1 from 2,0.6,0,25,110,86,234,4,12,8,68 from 69 (98.6%),6 from 6 (100.0%),9,101/16,0.86,"7 won, 1 lost (87.5%)","8 won, 2 lost (80.0%)",11 (1)
2014_15,39,7,bath,1,1,0,2,2 from 2,2 from 3,0.8,1,27,115,104,337,3,13,10,77 from 80 (96.2%),0 from 0,6,92/12,0.88,"4 won, 1 lost (80.0%)","13 won, 1 lost (92.9%)",11
2014_15,39,7,newcastle,0,0,0,2,2 from 2,0 from 3,0.4,0,23,78,77,231,0,12,2,60 from 63 (95.2%),0 from 0,9,118/13,0.9,"4 won, 0 lost (100.0%)","15 won, 1 lost (93.8%)",14
2014_15,40,7,sale,1,1,0,5 (2 penalty try),4 from 5,1 from 3,0.62,0,24,83,82,276,9,10,9,45 from 48 (93.8%),0 from 0,10,69/16,0.81,"11 won, 2 lost (84.6%)","12 won, 2 lost (85.7%)",11
2014_15,40,7,irish,0,0,0,1,0 from 1,1 from 2,0.33,0,13,108,88,399,7,16,5,50 from 55 (90.9%),0 from 0,20,64/10,0.86,"6 won, 1 lost (85.7%)","12 won, 1 lost (92.3%)",13
2014_15,41,7,wasps,1,1,0,11,8 from 11,0 from 0,0.73,0,26,173,142,810,24,36,19,90 from 93 (96.8%),4 from 4 (100.0%),9,74/16,0.82,"7 won, 0 lost (100.0%)","15 won, 1 lost (93.8%)",10 (1)
2014_15,41,7,welsh,0,0,0,1,1 from 1,0 from 1,0.5,0,20,119,86,355,3,16,10,41 from 45 (91.1%),4 from 7 (57.1%),15,124/36,0.78,"2 won, 1 lost (66.7%)","14 won, 1 lost (93.3%)",9 (2)
2014_15,42,7,leicester,1,0,1,0,0 from 0,7 from 9,0.78,0 (1 missed),32,96,77,130,1,7,3,61 from 63 (96.8%),5 from 5 (100.0%),10,59/2,0.97,"5 won, 0 lost (100.0%)","13 won, 1 lost (92.9%)",11 (2)
2014_15,42,7,saracens,0,0,1,0,0 from 0,7 from 8,0.88,0,32,68,54,200,1,2,2,40 from 41 (97.6%),3 from 3 (100.0%),12,92/7,0.93,"7 won, 2 lost (77.8%)","9 won, 2 lost (81.8%)",14 (2)
2014_15,43,8,newcastle,1,1,0,1,0 from 1,5 from 6,0.71,0,21,115,100,182,3,12,3,91 from 94 (96.8%),0 from 0,7,190/26,0.88,"6 won, 0 lost (100.0%)","11 won, 2 lost (84.6%)",11
2014_15,43,8,gloucester,0,0,0,1,1 from 1,1 from 3,0.5,0,14,153,129,275,2,26,5,110 from 115 (95.7%),0 from 0,12,151/12,0.93,"3 won, 1 lost (75.0%)","6 won, 1 lost (85.7%)",16
2014_15,44,8,harlequins,1,0,0,0,0 from 0,4 from 4,1,0 (1 missed),18,157,124,239,2,8,14,91 from 94 (96.8%),5 from 7 (71.4%),13,110/17,0.87,"9 won, 2 lost (81.8%)","9 won, 1 lost (90.0%)",10 (2)
2014_15,44,8,sale,0,1,0,1,1 from 1,3 from 5,0.67,0,21,106,89,278,6,17,3,72 from 73 (98.6%),3 from 3 (100.0%),13,143/8,0.95,"3 won, 0 lost (100.0%)","9 won, 8 lost (52.9%)",7 (2)
2014_15,45,8,irish,1,0,0,2,2 from 2,3 from 5,0.71,0,25,117,90,392,4,13,9,61 from 62 (98.4%),0 from 0,10,42/9,0.82,"3 won, 1 lost (75.0%)","11 won, 2 lost (84.6%)",14
2014_15,45,8,bath,0,1,0,3 (1 penalty try),3 from 3,4 from 5,0.88,0,29,56,50,254,4,9,4,30 from 34 (88.2%),0 from 0,7,94/13,0.88,"7 won, 2 lost (77.8%)","9 won, 2 lost (81.8%)",12
2014_15,46,8,exeter,1,1,0,3,2 from 3,4 from 4,0.86,0,23,105,78,297,5,15,4,59 from 62 (95.2%),0 from 0,8,100/17,0.85,"3 won, 1 lost (75.0%)","14 won, 3 lost (82.4%)",10
2014_15,46,8,wasps,0,0,0,2,1 from 2,1 from 1,0.67,0,19,123,88,447,11,17,10,60 from 60 (100.0%),0 from 0,13,97/15,0.87,"11 won, 3 lost (78.6%)","9 won, 0 lost (100.0%)",9
2014_15,47,8,welsh,1,0,0,1,0 from 1,0 from 0,0,0 (1 missed),33,123,75,256,1,9,7,48 from 49 (98.0%),5 from 6 (83.3%),17,104/25,0.81,"10 won, 2 lost (83.3%)","12 won, 3 lost (80.0%)",12 (1)
2014_15,47,8,leicester,0,1,0,4,3 from 4,0 from 2,0.5,0,24,126,101,411,7,25,6,73 from 76 (96.1%),8 from 9 (88.9%),14,78/9,0.9,"6 won, 1 lost (85.7%)","16 won, 3 lost (84.2%)",9 (1)
2014_15,48,8,saracens,1,0,0,3,0 from 3,3 from 3,0.5,0,27,63,75,260,7,16,5,51 from 53 (96.2%),7 from 8 (87.5%),9,94/6,0.94,"4 won, 2 lost (66.7%)","17 won, 2 lost (89.5%)",13 (0)
2014_15,48,8,northampton,0,1,0,3,2 from 3,4 from 5,0.75,0,29,56,78,214,2,6,2,59 from 65 (90.8%),6 from 10 (60.0%),15,77/16,0.83,"6 won, 0 lost (100.0%)","14 won, 0 lost (100.0%)",13 (1)
2014_15,49,9,bath,1,1,0,4,1 from 4,1 from 2,0.33,0,18,98,76,210,5,13,4,55 from 61 (90.2%),12 from 13 (92.3%),15,76/10,0.88,"11 won, 0 lost (100.0%)","22 won, 3 lost (88.0%)",4 (1)
2014_15,49,9,harlequins,0,0,0,0,0 from 0,2 from 2,1,0,19,90,64,160,2,10,5,53 from 57 (93.0%),2 from 4 (50.0%),10,91/13,0.88,"4 won, 4 lost (50.0%)","7 won, 1 lost (87.5%)",22 (0)
2014_15,50,9,exeter,1,1,0,0,0 from 0,9 from 9,1,0 (1 missed),41,69,108,405,5,17,6,61 from 64 (95.3%),0 from 0,16,54/14,0.79,"11 won, 0 lost (100.0%)","8 won, 3 lost (72.7%)",7
2014_15,50,9,saracens,0,0,0,1,1 from 1,4 from 5,0.83,0,41,58,75,216,3,14,3,40 from 43 (93.0%),0 from 0,18,96/17,0.85,"6 won, 1 lost (85.7%)","3 won, 1 lost (75.0%)",12
2014_15,51,9,leicester,1,1,0,0,0 from 0,6 from 6,1,0 (1 missed),21,86,74,236,0,8,0,64 from 65 (98.5%),0 from 0,14,91/10,0.9,"10 won, 1 lost (90.9%)","12 won, 0 lost (100.0%)",8
2014_15,51,9,wasps,0,0,0,1,1 from 1,3 from 4,0.8,0,20,100,68,223,4,10,1,53 from 54 (98.1%),0 from 0,15,106/8,0.93,"6 won, 0 lost (100.0%)","11 won, 1 lost (91.7%)",14
2014_15,52,9,newcastle,1,0,0,1,1 from 1,2 from 2,1,0,33,170,116,475,5,18,7,83 from 88 (94.3%),4 from 5 (80.0%),14,164/14,0.92,"3 won, 2 lost (60.0%)","11 won, 3 lost (78.6%)",11
2014_15,52,9,sale,0,1,0,2,1 from 2,2 from 3,0.6,0,37,212,143,534,8,14,5,114 from 119 (95.8%),5 from 6 (83.3%),12,126/18,0.88,"5 won, 1 lost (83.3%)","11 won, 1 lost (91.7%)",10
2014_15,53,9,welsh,1,0,0,2,2 from 2,0 from 0,1,0,17,224,131,491,13,29,15,90 from 94 (95.7%),0 from 0,22,75/16,0.82,"7 won, 0 lost (100.0%)","11 won, 2 lost (84.6%)",11
2014_15,53,9,northampton,0,1,0,7,4 from 7,0 from 1,0.5,0,24,98,72,344,14,16,6,45 from 48 (93.8%),0 from 0,17,136/29,0.82,"7 won, 2 lost (77.8%)","14 won, 0 lost (100.0%)",7
2014_15,54,9,irish,1,0,0,0,0 from 0,3 from 4,0.75,0,17,96,86,211,4,13,13,58 from 62 (93.5%),5 from 7 (71.4%),16,127/22,0.85,"5 won, 0 lost (100.0%)","16 won, 5 lost (76.2%)",8 (2)
2014_15,54,9,gloucester,0,1,0,2,1 from 2,3 from 4,0.67,0,25,105,98,345,7,22,8,69 from 76 (90.8%),8 from 10 (80.0%),12,88/13,0.87,"7 won, 2 lost (77.8%)","7 won, 1 lost (87.5%)",15 (0)
2014_15,55,10,sale,1,1,0,2,1 from 2,2 from 3,0.6,0 (1 missed),29,132,116,335,5,20,8,75 from 79 (94.9%),10 from 11 (90.9%),14,99/22,0.82,"6 won, 1 lost (85.7%)","18 won, 2 lost (90.0%)",10
2014_15,55,10,exeter,0,0,0,1,0 from 1,2 from 2,0.67,0,28,78,85,276,3,22,3,53 from 58 (91.4%),5 from 6 (83.3%),13,124/20,0.86,"3 won, 3 lost (50.0%)","12 won, 4 lost (75.0%)",17
2014_15,56,10,gloucester,1,0,0,1,1 from 1,3 from 5,0.67,0 (1 missed),21,149,129,278,4,19,6,110 from 115 (95.7%),0 from 2 (0.0%),14,93/13,0.88,"5 won, 2 lost (71.4%)","5 won, 1 lost (83.3%)",13 (0)
2014_15,56,10,bath,0,1,0,3 (1 penalty try),3 from 3,6 from 7,0.9,0,24,119,78,285,9,13,8,58 from 61 (95.1%),3 from 3 (100.0%),10,182/19,0.91,"6 won, 1 lost (85.7%)","8 won, 2 lost (80.0%)",7 (1)
2014_15,57,10,northampton,1,1,0,3,1 from 3,2 from 3,0.5,0,25,190,152,517,8,23,9,119 from 126 (94.4%),3 from 4 (75.0%),18,50/15,0.77,"2 won, 1 lost (66.7%)","14 won, 1 lost (93.3%)",10 (1)
